Company Name,Abbrv,Group,Status
"Aalfs, Evans & Company",AE,Maint,0
BnB,BNB,BNB,0
Bindel Properties,BP,BP,0
Briton,BRIT,Brit,0
Biztech,BT,Maint,1
Champ CPA,CHAMP,Champ,0
Dream Quest Youth Center,DQ,DQ,0
Eureka City Golf,ECG,ECG,0
Elks Lodge,EL,EL,0
Ford Logging,FL,FL,0
Grayson Lumber Company,GLC,SLG,0
Gallegos Law Firm,GLF,Maint,0
George Petersen Insurance,GPI,GPI,0
Humboldt Sanitation,HS,HS,0
Jamie Corsetti,JC,JC,0
JessiCurl,JCURL,JCURL,1
Judy Davis Insurance,JDI,JDI,2
Leon's Car Care,LCC,Maint,0
Marimba 1,M1,Maint,0
Maples,MP,Maint,0
Moorish Science Temple of America,MSTA,MSTA,3
Martinez Tax Service,MTS,MTS,0
MillYard,MY,Maint,0
Natural Decadence,ND,ND,3
North Fork Lumber,NFL,SLG,0
Omey Dental,OMEY,Omey,0
Pacific Outfitters,PO,Maint,0
Picky Picky Picky,PPP,PPP,0
R Brown,RB,Maint,0
Schmidbauer Lumber Comp,SLI,SLG,0
Safe Planners,SP,SP,0
Sustainable Resource Management,SRM,SLG,0
Spanish Trail Lumber Company,STL,SLG,0
Strombeck Properties,STROM,STROM,2
Trinity River Lumber Company,TRL,SLG,0
Vance,VANCE,SLG,0
Valley Lumber,VL,VL,0
Wells Commercial,WC,Maint,0
McLean Foundation,MF,MF,0
Baywood GCC,BGCC,Maint,0
Central Office,CO,CO,0
Friesen Homes,FH,FH,0
Eureka Books,EB,EB,0
Sequoia Forest Products,SFP,Maint,0
Colburn Electric,CE,CE,0
Trillium Veterinary Services,TVS,TVS,0
Sushi Spot,SS,SS,2
Samara,SAM,SAM,0
Big Oil and Tire,BOT,BOT,0
Health Sport,HSP,Maint,0
Wes Green Company,WGC,WGC,0
Coyotte Valley,CV,Maint,0
